ID,Label,Num_Con,IAU_bool
pi. Ser,pi. Ser,1,False
f Lup,f Lup,1,True
zet Per,zet Per,1,True
bet Cam,bet Cam,1,True
gam Per,gam Per,1,True
ksi Her,ksi Her,1,False
bet CrB,bet CrB,1,True
eps Ser,eps Ser,1,True
eta Aql,eta Aql,1,False
alf Psc,alf Psc,1,True
bet Aqr,bet Aqr,1,True
nu. Cap,nu. Cap,1,True
pi. Hya,pi. Hya,1,True
30 Psc,30 Psc,1,True
alf Dor,alf Dor,1,True
alf Gru,alf Gru,1,True
iot UMa,iot UMa,1,False
iot Cnc,iot Cnc,1,False
zet UMi,zet UMi,1,False
eps Boo,eps Boo,1,False
iot Ori,iot Ori,1,False
gam TrA,gam TrA,2,False
eta Tau,eta Tau,1,False
ups UMa,ups UMa,1,False
