ID,Label,Con_Name
767,rho03 Eri,CON Dien Eri
768,eta Eri,CON Dien Eri
769,l Eri,CON Dien Eri
770,54 Eri,CON Dien Eri
771,ups02 Eri,CON Dien Eri
772,ups04 Eri,CON Dien Eri
773,tau05 Eri,CON Dien Eri
774,tau04 Eri,CON Dien Eri
775,tau01 Eri,CON Dien Eri
776,tau03 Eri,CON Dien Eri
777,alf For,CON Dien Eri
778,iot Eri,CON Dien Eri
779,e Eri,CON Dien Eri
780,tet01 Eri,CON Dien Eri
781,kap Eri,CON Dien Eri
782,phi Eri,CON Dien Eri
783,chi Eri,CON Dien Eri
784,alf Eri,CON Dien Eri
785,lam Eri,CON Dien Eri_eq
786,bet Eri,CON Dien Eri_eq
787,ome Eri,CON Dien Eri_eq
788,mu. Eri,CON Dien Eri_eq
789,nu. Eri,CON Dien Eri_eq
790,omi01 Eri,CON Dien Eri_eq
791,gam Eri,CON Dien Eri_eq
792,del Eri,CON Dien Eri_eq
793,eps Eri,CON Dien Eri_eq
794,zet Eri,CON Dien Eri_eq
795,rho03 Eri,CON Dien Eri_eq
796,rho01 Eri,CON Dien Eri_eq
797,eta Eri,CON Dien Eri_eq
798,v Eri,CON Dien Eri_eq
799,psi Eri,CON Dien Eri_eq
800,l Eri,CON Dien Eri_eq
801,54 Eri,CON Dien Eri_eq
802,ups02 Eri,CON Dien Eri_eq
803,d Eri,CON Dien Eri_eq
804,ups04 Eri,CON Dien Eri_eq
805,e Eri,CON Dien Eri_eq
806,tet01 Eri,CON Dien Eri_eq
807,iot Eri,CON Dien Eri_eq
808,alf For,CON Dien Eri_eq
809,tau05 Eri,CON Dien Eri_eq
810,tau04 Eri,CON Dien Eri_eq
811,tau03 Eri,CON Dien Eri_eq
812,tau01 Eri,CON Dien Eri_eq
813,alf Gem,CON Dien Gem
814,bet Gem,CON Dien Gem
815,del Gem,CON Dien Gem
816,zet Gem,CON Dien Gem
817,gam Gem,CON Dien Gem
818,nu. Gem,CON Dien Gem
819,mu. Gem,CON Dien Gem
820,eps Gem,CON Dien Gem
821,eta Gem,CON Dien Gem
822,kap Gem,CON Dien Gem
823,ups Gem,CON Dien Gem
824,iot Gem,CON Dien Gem
825,tet Gem,CON Dien Gem
826,lam Gem,CON Dien Gem
827,ksi Gem,CON Dien Gem
828,del01 Gru,CON Dien Gru
829,alf Gru,CON Dien Gru
830,bet Gru,CON Dien Gru
831,eps Gru,CON Dien Gru
832,alf Her,CON Dien Her
833,bet Her,CON Dien Her
834,gam Her,CON Dien Her
835,ome Her,CON Dien Her
836,zet Her,CON Dien Her
837,eps Her,CON Dien Her
838,del Her,CON Dien Her
839,pi. Her,CON Dien Her
840,eta Her,CON Dien Her
841,rho Her,CON Dien Her
842,sig Her,CON Dien Her
843,tau Her,CON Dien Her
844,lam Her,CON Dien Her
845,mu. Her,CON Dien Her
846,alf Her,CON Dien Her_eq
847,gam Her,CON Dien Her_eq
848,bet Her,CON Dien Her_eq
849,zet Her,CON Dien Her_eq
850,eps Her,CON Dien Her_eq
851,del Her,CON Dien Her_eq
852,ome Her,CON Dien Her_eq
853,lam Her,CON Dien Her_eq
854,mu. Her,CON Dien Her_eq
855,eta Her,CON Dien Her_eq
856,sig Her,CON Dien Her_eq
857,tau Her,CON Dien Her_eq
858,pi. Her,CON Dien Her_eq
859,e Her,CON Dien Her_eq
860,rho Her,CON Dien Her_eq
861,iot Her,CON Dien Her_eq
862,eps Hya,CON Dien Hya
863,eta Hya,CON Dien Hya
864,sig Hya,CON Dien Hya
865,del Hya,CON Dien Hya
866,zet Hya,CON Dien Hya
867,tet Hya,CON Dien Hya
868,alf Hya,CON Dien Hya
869,lam Hya,CON Dien Hya
870,mu. Hya,CON Dien Hya
871,ksi Hya,CON Dien Hya
872,bet Hya,CON Dien Hya
873,psi Hya,CON Dien Hya
874,gam Hya,CON Dien Hya
875,pi. Hya,CON Dien Hya
876,eps Hya,CON Dien Hya_eq
877,rho Hya,CON Dien Hya_eq
878,eta Hya,CON Dien Hya_eq
879,sig Hya,CON Dien Hya_eq
880,del Hya,CON Dien Hya_eq
881,zet Hya,CON Dien Hya_eq
882,tet Hya,CON Dien Hya_eq
883,tau01 Hya,CON Dien Hya_eq
884,tau02 Hya,CON Dien Hya_eq
885,iot Hya,CON Dien Hya_eq
886,alf Hya,CON Dien Hya_eq
887,lam Hya,CON Dien Hya_eq
888,mu. Hya,CON Dien Hya_eq
889,ksi Hya,CON Dien Hya_eq
890,bet Hya,CON Dien Hya_eq
891,psi Hya,CON Dien Hya_eq
892,gam Hya,CON Dien Hya_eq
893,pi. Hya,CON Dien Hya_eq
894,50 Hya,CON Dien Hya_eq
895,l Hya,CON Dien Hya_eq
896,k Hya,CON Dien Hya_eq
897,E Hya,CON Dien Hya_eq
898,56 Hya,CON Dien Hya_eq
899,m Hya A,CON Dien Hya_eq
900,bet Hyi,CON Dien Hyi
901,gam Hyi,CON Dien Hyi
902,alf Hyi,CON Dien Hyi
903,alf Ind,CON Dien Ind
904,bet Ind,CON Dien Ind
905,2 Lac,CON Dien Lac
906,4 Lac,CON Dien Lac
907,bet Lac,CON Dien Lac
908,alf Lac,CON Dien Lac
909,1 Lac,CON Dien Lac
910,alf Lep,CON Dien Lep
911,bet Lep,CON Dien Lep
912,gam Lep,CON Dien Lep
913,del Lep,CON Dien Lep
914,eps Lep,CON Dien Lep
915,zet Lep,CON Dien Lep
916,lam Lep,CON Dien Lep
917,mu. Lep,CON Dien Lep
918,iot Lep,CON Dien Lep
919,eta Lep,CON Dien Lep
920,tet Lep,CON Dien Lep
921,alf02 Lib,CON Dien Lib
922,del Lib,CON Dien Lib
923,bet Lib,CON Dien Lib
924,sig Lib,CON Dien Lib
925,pi. Sco,CON Dien Lib
926,eps Lib,CON Dien Lib
927,gam Lib,CON Dien Lib
928,iot Lib,CON Dien Lib
929,eta Lib,CON Dien Lib
930,kap Lib,CON Dien Lib
931,lam Lib,CON Dien Lib
932,tet Lib,CON Dien Lib
933,48 Lib,CON Dien Lib
934,ksi Sco,CON Dien Lib
935,alf02 Lib,CON Dien Lib_eq
936,bet Lib,CON Dien Lib_eq
937,gam Lib,CON Dien Lib_eq
938,iot Lib,CON Dien Lib_eq
939,del Lib,CON Dien Lib_eq
940,eps Lib,CON Dien Lib_eq
941,sig Lib,CON Dien Lib_eq
942,tau Lib,CON Dien Lib_eq
943,eta Lib,CON Dien Lib_eq
944,kap Lib,CON Dien Lib_eq
945,lam Lib,CON Dien Lib_eq
946,tet Lib,CON Dien Lib_eq
947,48 Lib,CON Dien Lib_eq
948,ksi Sco,CON Dien Lib_eq
949,37 LMi,CON Dien LMi
950,bet LMi,CON Dien LMi
951,21 LMi,CON Dien LMi
952,30 LMi,CON Dien LMi
953,42 LMi,CON Dien LMi
954,37 LMi,CON Dien LMi_eq
955,bet LMi,CON Dien LMi_eq
956,21 LMi,CON Dien LMi_eq
957,30 LMi,CON Dien LMi_eq
958,42 LMi,CON Dien LMi_eq
959,lam Leo,CON Dien Leo
960,eps Leo,CON Dien Leo
961,kap Leo,CON Dien Leo
962,ksi Leo,CON Dien Leo
963,omi Leo,CON Dien Leo
964,pi. Leo,CON Dien Leo
965,alf Leo,CON Dien Leo
966,eta Leo,CON Dien Leo
967,gam01 Leo,CON Dien Leo
968,zet Leo,CON Dien Leo
969,mu. Leo,CON Dien Leo
970,tet Leo,CON Dien Leo
971,bet Leo,CON Dien Leo
972,del Leo,CON Dien Leo
973,93 Leo,CON Dien Leo
974,rho Leo,CON Dien Leo
975,tau Leo,CON Dien Leo
976,iot Leo,CON Dien Leo
977,ups Leo,CON Dien Leo
978,e Leo,CON Dien Leo
979,alf Lup,CON Dien Lup
980,bet Lup,CON Dien Lup
981,kap Cen,CON Dien Lup
982,eta Cen,CON Dien Lup
983,gam Lup,CON Dien Lup
984,eps Lup,CON Dien Lup
985,zet Lup,CON Dien Lup
986,ome Lup,CON Dien Lup
987,bet Lup,CON Dien Lup_eq
988,eps Lup,CON Dien Lup_eq
989,del Lup,CON Dien Lup_eq
990,gam Lup,CON Dien Lup_eq
991,phi01 Lup,CON Dien Lup_eq
992,tet Lup,CON Dien Lup_eq
993,chi Lup,CON Dien Lup_eq
994,1 Lyn,CON Dien Lyn
995,15 Lyn,CON Dien Lyn
996,27 Lyn,CON Dien Lyn
997,31 Lyn,CON Dien Lyn
998,HD  77912,CON Dien Lyn
999,38 Lyn,CON Dien Lyn
1000,alf Lyn,CON Dien Lyn
1001,1 Lyn,CON Dien Lyn_eq
1002,15 Lyn,CON Dien Lyn_eq
1003,27 Lyn,CON Dien Lyn_eq
1004,31 Lyn,CON Dien Lyn_eq
1005,HD  77912,CON Dien Lyn_eq
1006,38 Lyn,CON Dien Lyn_eq
1007,alf Lyn,CON Dien Lyn_eq
1008,eps01 Lyr,CON Dien Lyr
1009,alf Lyr,CON Dien Lyr
1010,kap Lyr,CON Dien Lyr
1011,zet01 Lyr,CON Dien Lyr
1012,bet Lyr,CON Dien Lyr
1013,gam Lyr,CON Dien Lyr
1014,del02 Lyr,CON Dien Lyr
1015,alf Mic,CON Dien Mic
1016,zet Mon,CON Dien Mon
1017,alf Mon,CON Dien Mon
1018,del Mon,CON Dien Mon
1019,18 Mon,CON Dien Mon
1020,bet Mon,CON Dien Mon
1021,13 Mon,CON Dien Mon
1022,15 Mon,CON Dien Mon
1023,17 Mon,CON Dien Mon
1024,35 Ari,CON Dien MuB
1025,39 Ari,CON Dien MuB
1026,41 Ari,CON Dien MuB
1027,bet Mus,CON Dien Mus
1028,alf Mus,CON Dien Mus
1029,gam Mus,CON Dien Mus
1030,del Mus,CON Dien Mus
1031,alf Oph,CON Dien Oph
1032,kap Oph,CON Dien Oph
1033,iot Oph,CON Dien Oph
1034,lam Ser,CON Dien Oph
1035,alf Ser,CON Dien Oph
1036,eps Ser,CON Dien Oph
1037,del Oph,CON Dien Oph
1038,eps Oph,CON Dien Oph
1039,zet Oph,CON Dien Oph
1040,eta Oph,CON Dien Oph
1041,tet Oph,CON Dien Oph
1042,36 Oph B,CON Dien Oph
1043,eta Ser,CON Dien Oph
1044,tet01 Ser,CON Dien Oph
1045,gam Oph,CON Dien Oph
1046,bet Oph,CON Dien Oph
1047,72 Oph,CON Dien Oph2
1048,71 Oph,CON Dien Oph2
1049,66 Oph,CON Dien Oph2
1050,67 Oph,CON Dien Oph2
1051,68 Oph,CON Dien Oph2
1052,70 Oph,CON Dien Oph2
1053,alf Ori,CON Dien Ori
1054,gam Ori,CON Dien Ori
1055,tau Ori,CON Dien Ori
1056,bet Ori,CON Dien Ori
1057,kap Ori,CON Dien Ori
1058,phi02 Ori,CON Dien Ori
1059,lam Ori,CON Dien Ori
1060,phi01 Ori,CON Dien Ori
1061,pi.03 Ori,CON Dien Ori
1062,pi.04 Ori,CON Dien Ori
1063,pi.05 Ori,CON Dien Ori
1064,pi.02 Ori,CON Dien Ori
1065,pi.06 Ori,CON Dien Ori
1066,zet Ori,CON Dien Ori
1067,eps Ori,CON Dien Ori
1068,del Ori,CON Dien Ori
1069,eta Ori,CON Dien Ori
1070,c Ori,CON Dien Ori
1071,sig Ori,CON Dien Ori
1072,iot Ori,CON Dien Ori
1073,alf Pav,CON Dien Pav
1074,bet Pav,CON Dien Pav
1075,gam Pav,CON Dien Pav
1076,del Pav,CON Dien Pav
1077,eps Pav,CON Dien Pav
1078,zet Pav,CON Dien Pav
1079,alf And,CON Dien Peg
1080,bet Peg,CON Dien Peg
1081,alf Peg,CON Dien Peg
1082,gam Peg,CON Dien Peg
1083,pi. Peg,CON Dien Peg
1084,eta Peg,CON Dien Peg
1085,mu. Peg,CON Dien Peg
1086,lam Peg,CON Dien Peg
1087,42 Peg,CON Dien Peg
1088,tet Peg,CON Dien Peg
1089,eps Peg,CON Dien Peg
1090,kap Peg,CON Dien Peg
1091,iot Peg,CON Dien Peg
1092,1 Peg,CON Dien Peg
1093,alf And,CON Dien Peg_eq
1094,bet Peg,CON Dien Peg_eq
1095,alf Peg,CON Dien Peg_eq
1096,gam Peg,CON Dien Peg_eq
1097,tau Peg,CON Dien Peg_eq
1098,ups Peg,CON Dien Peg_eq
1099,pi. Peg,CON Dien Peg_eq
1100,eta Peg,CON Dien Peg_eq
1101,mu. Peg,CON Dien Peg_eq
1102,lam Peg,CON Dien Peg_eq
1103,tet Peg,CON Dien Peg_eq
1104,42 Peg,CON Dien Peg_eq
1105,eps Peg,CON Dien Peg_eq
1106,1 Peg,CON Dien Peg_eq
1107,kap Peg,CON Dien Peg_eq
1108,iot Peg,CON Dien Peg_eq
1109,eta Per,CON Dien Per
1110,gam Per,CON Dien Per
1111,alf Per,CON Dien Per
1112,iot Per,CON Dien Per
1113,tau Per,CON Dien Per
1114,bet Per,CON Dien Per
1115,rho Per,CON Dien Per
1116,16 Per,CON Dien Per
1117,kap Per,CON Dien Per
1118,del Per,CON Dien Per
1119,nu. Per,CON Dien Per
1120,eps Per,CON Dien Per
1121,zet Per,CON Dien Per
1122,omi Per,CON Dien Per
1123,c Per,CON Dien Per
1124,mu. Per,CON Dien Per
1125,mu. Per,CON Dien Per_eq
1126,c Per,CON Dien Per_eq
1127,nu. Per,CON Dien Per_eq
1128,eps Per,CON Dien Per_eq
1129,del Per,CON Dien Per_eq
1130,bet Per,CON Dien Per_eq
1131,zet Per,CON Dien Per_eq
1132,rho Per,CON Dien Per_eq
1133,16 Per,CON Dien Per_eq
1134,kap Per,CON Dien Per_eq
1135,iot Per,CON Dien Per_eq
1136,tet Per,CON Dien Per_eq
1137,bet Phe,CON Dien Phe
1138,gam Phe,CON Dien Phe
1139,del Phe,CON Dien Phe
1140,alf Phe,CON Dien Phe
1141,eps Phe,CON Dien Phe
1142,alf PsA,CON Dien PsA
1143,eps PsA,CON Dien PsA
1144,bet PsA,CON Dien PsA
1145,iot PsA,CON Dien PsA
1146,tet PsA,CON Dien PsA
1147,alf PsA,CON Dien PsA_eq
1148,eps PsA,CON Dien PsA_eq
1149,bet PsA,CON Dien PsA_eq
1150,iot PsA,CON Dien PsA_eq
1151,tet PsA,CON Dien PsA_eq
1152,l Psc,CON Dien Psc
1153,ups Psc,CON Dien Psc
1154,tau Psc,CON Dien Psc
1155,phi Psc,CON Dien Psc
1156,chi Psc,CON Dien Psc
1157,rho Psc,CON Dien Psc
1158,eta Psc,CON Dien Psc
1159,pi. Psc,CON Dien Psc
1160,omi Psc,CON Dien Psc
1161,alf Psc,CON Dien Psc
1162,ksi Psc,CON Dien Psc
1163,nu. Psc,CON Dien Psc
1164,mu. Psc,CON Dien Psc
1165,zet Psc A,CON Dien Psc
1166,eps Psc,CON Dien Psc
1167,del Psc,CON Dien Psc
1168,ome Psc,CON Dien Psc
1169,iot Psc,CON Dien Psc
1170,tet Psc,CON Dien Psc
1171,gam Psc,CON Dien Psc
1172,kap Psc,CON Dien Psc
1173,lam Psc,CON Dien Psc
1174,bet Psc,CON Dien Psc
1175,30 Psc,CON Dien Psc
1176,74 Psc A,CON Dien Psc
1177,bet Pyx,CON Dien Pyx
1178,alf Pyx,CON Dien Pyx
1179,tet Pyx,CON Dien Pyx
1180,del Pyx,CON Dien Pyx
1181,eps Pyx,CON Dien Pyx
1182,alf Ret,CON Dien Ret
1183,bet Ret,CON Dien Ret
1184,alf Scl,CON Dien Scl
1185,eps Scl,CON Dien Scl
1186,kap Sco,CON Dien Sco
1187,ups Sco,CON Dien Sco
1188,lam Sco,CON Dien Sco
1189,G Sco,CON Dien Sco
1190,iot01 Sco,CON Dien Sco
1191,tet Sco,CON Dien Sco
1192,eta Sco,CON Dien Sco
1193,mu.01 Sco,CON Dien Sco
1194,eps Sco,CON Dien Sco
1195,tau Sco,CON Dien Sco
1196,alf Sco,CON Dien Sco
1197,pi. Sco,CON Dien Sco
1198,del Sco,CON Dien Sco
1199,sig Sco,CON Dien Sco
1200,rho Sco,CON Dien Sco
1201,bet01 Sco,CON Dien Sco
1202,nu. Sco,CON Dien Sco
1203,i Aql,CON Dien Sct
1204,bet Sct,CON Dien Sct
1205,alf Sct,CON Dien Sct
1206,kap Ser,CON Dien Ser
1207,iot Ser,CON Dien Ser
1208,rho Ser,CON Dien Ser
1209,pi. Ser,CON Dien Ser
1210,V QY Ser,CON Dien Ser
1211,bet Ser,CON Dien Ser
1212,gam Ser,CON Dien Ser
1213,del Ser,CON Dien Ser
1214,alf Ser,CON Dien Ser
1215,eps Ser,CON Dien Ser
1216,mu. Ser,CON Dien Ser
1217,zet Oph,CON Dien Ser
1218,lam Oph,CON Dien Ser
1219,eta Oph,CON Dien Ser
1220,tet Oph,CON Dien Ser
1221,nu. Ser,CON Dien Ser
1222,omi Ser,CON Dien Ser
1223,ksi Ser,CON Dien Ser
1224,zet Ser,CON Dien Ser
1225,nu. Oph,CON Dien Ser
1226,gam Sge,CON Dien Sge
1227,del Sge,CON Dien Sge
1228,alf Sge,CON Dien Sge
1229,bet Sge,CON Dien Sge
1230,sig Sgr,CON Dien Sgr
1231,tau Sgr,CON Dien Sgr
1232,zet Sgr,CON Dien Sgr
1233,phi Sgr,CON Dien Sgr
1234,del Sgr,CON Dien Sgr
1235,gam02 Sgr,CON Dien Sgr
1236,eta Sgr,CON Dien Sgr
1237,eps Sgr,CON Dien Sgr
1238,lam Sgr,CON Dien Sgr
1239,mu. Sgr,CON Dien Sgr
1240,ksi02 Sgr,CON Dien Sgr
1241,omi Sgr,CON Dien Sgr
1242,pi. Sgr,CON Dien Sgr
1243,alf Sgr,CON Dien Sgr
1244,bet01 Sgr,CON Dien Sgr
1245,iot Sgr,CON Dien Sgr
1246,chi01 Sgr,CON Dien Sgr
1247,ome Sgr,CON Dien Sgr
1248,tet Ara,CON Dien Sgr
1249,alf Tel,CON Dien Sgr
1250,sig Sgr,CON Dien Sgr_eq
1251,tau Sgr,CON Dien Sgr_eq
1252,zet Sgr,CON Dien Sgr_eq
1253,phi Sgr,CON Dien Sgr_eq
1254,del Sgr,CON Dien Sgr_eq
1255,gam02 Sgr,CON Dien Sgr_eq
1256,eta Sgr,CON Dien Sgr_eq
1257,eps Sgr,CON Dien Sgr_eq
1258,lam Sgr,CON Dien Sgr_eq
1259,mu. Sgr,CON Dien Sgr_eq
1260,ksi02 Sgr,CON Dien Sgr_eq
1261,omi Sgr,CON Dien Sgr_eq
1262,pi. Sgr,CON Dien Sgr_eq
1263,zet Tau,CON Dien Tau
1264,bet Tau,CON Dien Tau
1265,132 Tau,CON Dien Tau
1266,alf Tau,CON Dien Tau
1267,tet02 Tau,CON Dien Tau
1268,gam Tau,CON Dien Tau
1269,del Tau,CON Dien Tau
1270,eps Tau,CON Dien Tau
1271,27 Tau,CON Dien Tau
1272,lam Tau,CON Dien Tau
1273,nu. Tau,CON Dien Tau
1274,mu. Tau,CON Dien Tau
1275,ksi Tau,CON Dien Tau
1276,omi Tau,CON Dien Tau
1277,alf TrA,CON Dien TrA
1278,bet TrA,CON Dien TrA
1279,gam TrA,CON Dien TrA
1280,alf Tri,CON Dien Tri
1281,bet Tri,CON Dien Tri
1282,gam Tri,CON Dien Tri
1283,alf Tuc,CON Dien Tuc
1284,gam Tuc,CON Dien Tuc
1285,bet01 Tuc,CON Dien Tuc
1286,del UMa,CON Dien UMa
1287,alf UMa,CON Dien UMa
1288,bet UMa,CON Dien UMa
1289,gam UMa,CON Dien UMa
1290,eps UMa,CON Dien UMa
1291,zet01 UMa,CON Dien UMa
1292,eta UMa,CON Dien UMa
1293,ups UMa,CON Dien UMa
1294,h UMa,CON Dien UMa
1295,omi UMa,CON Dien UMa
1296,tet UMa,CON Dien UMa
1297,iot UMa,CON Dien UMa
1298,kap UMa,CON Dien UMa
1299,lam UMa,CON Dien UMa
1300,mu. UMa,CON Dien UMa
1301,chi UMa,CON Dien UMa
1302,psi UMa,CON Dien UMa
1303,nu. UMa,CON Dien UMa
1304,ksi UMa,CON Dien UMa
1305,bet UMa,CON Dien UMa_eq
1306,gam UMa,CON Dien UMa_eq
1307,tet UMa,CON Dien UMa_eq
1308,iot UMa,CON Dien UMa_eq
1309,kap UMa,CON Dien UMa_eq
1310,lam UMa,CON Dien UMa_eq
1311,mu. UMa,CON Dien UMa_eq
1312,chi UMa,CON Dien UMa_eq
1313,psi UMa,CON Dien UMa_eq
1314,nu. UMa,CON Dien UMa_eq
1315,ksi UMa,CON Dien UMa_eq
1316,10 UMa,CON Dien UMa_eq
1317,alf UMi,CON Dien UMi
1318,del UMi,CON Dien UMi
1319,eps UMi,CON Dien UMi
1320,zet UMi,CON Dien UMi
1321,eta UMi,CON Dien UMi
1322,gam UMi,CON Dien UMi
1323,bet UMi,CON Dien UMi
1324,alf Vir,CON Dien Vir
1325,tet Vir,CON Dien Vir
1326,gam Vir,CON Dien Vir
1327,eta Vir,CON Dien Vir
1328,bet Vir,CON Dien Vir
1329,c Vir,CON Dien Vir
1330,pi. Vir,CON Dien Vir
1331,nu. Vir,CON Dien Vir
1332,ksi Vir,CON Dien Vir
1333,omi Vir,CON Dien Vir
1334,ome Vir,CON Dien Vir
1335,del Vir,CON Dien Vir
1336,eps Vir,CON Dien Vir
1337,zet Vir,CON Dien Vir
1338,109 Vir,CON Dien Vir
1339,phi Vir,CON Dien Vir
1340,iot Vir,CON Dien Vir
1341,mu. Vir,CON Dien Vir
1342,kap Vir,CON Dien Vir
1343,lam Vir,CON Dien Vir
1344,i Vir,CON Dien Vir
1345,2 Vul,CON Dien Vul
1346,alf Vul,CON Dien Vul
1347,15 Vul,CON Dien Vul
1348,23 Vul,CON Dien Vul
1349,41 Cyg,CON Dien Vul
1350,HD 192685,CON Dien Vul
1351,14 Vul,CON Dien Vul
1352,13 Vul A,CON Dien Vul
1353,2 Vul,CON Dien Vul_eq
1354,alf Vul,CON Dien Vul_eq
1355,15 Vul,CON Dien Vul_eq
1356,23 Vul,CON Dien Vul_eq
1357,41 Cyg,CON Dien Vul_eq
1358,13 Vul A,CON Dien Vul_eq
1359,HD 192685,CON Dien Vul_eq
1360,14 Vul,CON Dien Vul_eq
1361,eta UMa,CON Gond 001
1362,zet01 UMa,CON Gond 001
1363,eps UMa,CON Gond 001
1364,del UMa,CON Gond 001
1365,alf UMa,CON Gond 001
1366,bet UMa,CON Gond 001
1367,gam UMa,CON Gond 001
1368,del Ori,CON Gond 003
1369,eps Ori,CON Gond 003
1370,zet Ori,CON Gond 003
1371,del Ori,CON Gond 004
1372,eps Ori,CON Gond 004
1373,zet Ori,CON Gond 004
1374,iot Ori,CON Gond 004
1375,tet01 Ori C,CON Gond 004
1376,c Ori,CON Gond 004
1377,alf01 Cru,CON Gond 008
1378,gam Cru,CON Gond 008
1379,bet Cru,CON Gond 008
1380,del Cru,CON Gond 008
1381,alf Cen A,CON Gond 008
1382,bet Cen,CON Gond 008
1383,bet Tau,CON Gond 009
1384,iot Aur,CON Gond 009
1385,alf Aur,CON Gond 009
1386,bet Aur,CON Gond 009
1387,alf Leo,CON Gond 012
1388,eta Leo,CON Gond 012
1389,gam01 Leo,CON Gond 012
1390,del Leo,CON Gond 012
1391,tet Leo,CON Gond 012
1392,31 Leo,CON Gond 013
1393,alf Leo,CON Gond 013
1394,eta Leo,CON Gond 013
1395,gam01 Leo,CON Gond 013
1396,zet Leo,CON Gond 013
1397,72 Leo,CON Gond 013
1398,del Leo,CON Gond 013
1399,tet Leo,CON Gond 013
1400,iot Leo,CON Gond 013
1401,bet Leo,CON Gond 013
1402,mu. Leo,CON Gond 013
1403,kap Leo,CON Gond 013
1404,lam Leo,CON Gond 013
1405,eps Leo,CON Gond 013
1406,eps Sco,CON Gond 014
1407,mu.01 Sco,CON Gond 014
1408,zet02 Sco,CON Gond 014
1409,eta Sco,CON Gond 014
1410,tet Sco,CON Gond 014
1411,iot01 Sco,CON Gond 014
1412,G Sco,CON Gond 014
1413,lam Sco,CON Gond 014
1414,lam Sco,CON Gond 015
1415,ups Sco,CON Gond 015
1416,kap Sco,CON Gond 015
1417,iot01 Sco,CON Gond 015
1418,tet Sco,CON Gond 015
1419,eta Sco,CON Gond 015
1420,zet02 Sco,CON Gond 015
1421,mu.01 Sco,CON Gond 015
1422,eps Sco,CON Gond 015
1423,tau Sco,CON Gond 015
1424,alf Sco,CON Gond 015
1425,sig Sco,CON Gond 015
1426,c02 Sco,CON Gond 015
1427,rho Sco,CON Gond 015
1428,pi. Sco,CON Gond 015
1429,nu. Sco,CON Gond 015
1430,bet01 Sco,CON Gond 015
1431,del Sco,CON Gond 015
1432,gam Gru,CON Gond 016
1433,lam Gru,CON Gond 016
1434,del01 Gru,CON Gond 016
1435,bet Gru,CON Gond 016
1436,alf Gru,CON Gond 016
1437,eps Gru,CON Gond 016
1438,zet Gru,CON Gond 016
1439,iot Gru,CON Gond 016
1440,alf CMa,CON Gond 017
1441,del CMa,CON Gond 017
1442,eps CMa,CON Gond 017
1443,alf Cyg,CON Gwichin 001
1444,gam Cyg,CON Gwichin 001
1445,del UMa,CON Gwichin 001
1446,eps UMa,CON Gwichin 001
1447,zet01 UMa,CON Gwichin 001
1448,eta UMa,CON Gwichin 001
1449,gam UMa,CON Gwichin 001
1450,lam UMa,CON Gwichin 001
1451,mu. UMa,CON Gwichin 001
1452,alf Boo,CON Gwichin 001
1453,eta Boo,CON Gwichin 001
1454,alf Aur,CON Gwichin 001
1455,bet Aur,CON Gwichin 001
1456,alf Gem,CON Gwichin 001
1457,bet Gem,CON Gwichin 001
1458,eta Tau,CON Gwichin 001
1459,bet Tau,CON Gwichin 001
1460,iot Aur,CON Gwichin 001
1461,alf UMa,CON Gwichin 001
1462,h UMa,CON Gwichin 001
1463,omi UMa,CON Gwichin 001
1464,15 Lyn,CON Gwichin 001
1465,bet UMa,CON Gwichin 001
1466,36 UMa,CON Gwichin 001
1467,tet UMa,CON Gwichin 001
1468,iot UMa,CON Gwichin 001
1469,kap UMa,CON Gwichin 001
1470,31 Lyn,CON Gwichin 001
1471,27 Lyn,CON Gwichin 001
1472,bet Tri,CON Gwichin 001
1473,gam01 And,CON Gwichin 001
1474,alf Leo,CON Gwichin 001
1475,omi Leo,CON Gwichin 001
1476,chi UMa,CON Gwichin 001
1477,psi UMa,CON Gwichin 001
1478,gam01 Leo,CON Gwichin 001
1479,zet Leo,CON Gwichin 001
1480,mu. Leo,CON Gwichin 001
1481,eps Leo,CON Gwichin 001
1482,alf Hya,CON Gwichin 001
1483,del Boo,CON Gwichin 002
1484,eps Boo,CON Gwichin 002
1485,alf Boo,CON Gwichin 002
1486,alf Tau,CON Huave 001
1487,tet02 Tau,CON Huave 001
1488,gam Tau,CON Huave 001
1489,del Tau,CON Huave 001
1490,del03 Tau,CON Huave 001
1491,eps Tau,CON Huave 001
1492,del Ori,CON Huave 002
1493,eps Ori,CON Huave 002
1494,zet Ori,CON Huave 002
1495,eta Ori,CON Huave 002
1496,tet01 Ori C,CON Huave 002
1497,alf Gem,CON Huave 003
1498,bet Gem,CON Huave 003
1499,eps Hya,CON Huave 004
1500,del Hya,CON Huave 004
1501,sig Hya,CON Huave 004
1502,eta Hya,CON Huave 004
1503,rho Hya,CON Huave 004
1504,del Cnc,CON Huave 005
1505,eps Cnc,CON Huave 005
1506,gam Cnc,CON Huave 005
1507,alf Leo,CON Huave 006
1508,eta Leo,CON Huave 006
1509,gam01 Leo,CON Huave 006
1510,zet Leo,CON Huave 006
1511,mu. Leo,CON Huave 006
1512,eps Leo,CON Huave 006
1513,del Crv,CON Huave 007
1514,gam Crv,CON Huave 007
1515,eps Crv,CON Huave 007
1516,bet Crv,CON Huave 007
1517,del Sco,CON Huave 008
1518,sig Sco,CON Huave 008
1519,alf Sco,CON Huave 008
1520,tau Sco,CON Huave 008
1521,eps Sco,CON Huave 008
1522,mu.01 Sco,CON Huave 008
1523,zet02 Sco,CON Huave 008
