ID,Label,Con_Name
174,iot Her,CON Blackfoot 003
175,pi. Her,CON Blackfoot 003
176,eps Her,CON Blackfoot 003
177,bet Her,CON Blackfoot 003
178,phi Her,CON Blackfoot 003
179,tau Her,CON Blackfoot 003
180,sig Her,CON Blackfoot 003
181,eta Her,CON Blackfoot 003
182,zet Her,CON Blackfoot 003
183,ksi Her,CON Blackfoot 003
184,mu. Her,CON Blackfoot 003
185,lam Her,CON Blackfoot 003
186,del Her,CON Blackfoot 003
187,111 Her,CON Blackfoot 003
188,110 Her,CON Blackfoot 003
189,109 Her,CON Blackfoot 003
190,95 Her A,CON Blackfoot 003
191,tet CrB,CON Blackfoot 004
192,bet CrB,CON Blackfoot 004
193,alf CrB,CON Blackfoot 004
194,gam CrB A,CON Blackfoot 004
195,del CrB,CON Blackfoot 004
196,eps CrB,CON Blackfoot 004
197,sig Sco,CON Bororo 001
198,pi. Sco,CON Bororo 001
199,del Sco,CON Bororo 001
200,bet01 Sco,CON Bororo 001
201,nu. Sco,CON Bororo 001
202,eps Hya,CON Bororo 002
203,zet Hya,CON Bororo 002
204,eta Hya,CON Bororo 002
205,sig Hya,CON Bororo 002
206,del Hya,CON Bororo 002
207,del Crv,CON Bororo 003
208,gam Crv,CON Bororo 003
209,eps Crv,CON Bororo 003
210,alf Crv,CON Bororo 003
211,bet Crv,CON Bororo 003
212,bet Ori,CON Bororo 004
213,tau Ori,CON Bororo 004
214,bet Eri,CON Bororo 004
215,ome Eri,CON Bororo 004
216,psi Eri,CON Bororo 004
217,lam Eri,CON Bororo 004
218,alf01 Cru,CON Bororo 005
219,gam Cru,CON Bororo 005
220,bet Cru,CON Bororo 005
221,del Cru,CON Bororo 005
222,alf Cen A,CON Bororo 006
223,bet Cen,CON Bororo 006
224,del Ori,CON Bororo 007
225,eps Ori,CON Bororo 007
226,zet Ori,CON Bororo 007
227,gam Cen,CON Bororo 008
228,tau Cen,CON Bororo 008
229,sig Cen,CON Bororo 008
230,del Cen,CON Bororo 008
231,rho Cen,CON Bororo 008
232,G Cen,CON Bororo 008
233,eps Cen,CON Bororo 009
234,ksi02 Cen,CON Bororo 009
235,e Cen,CON Bororo 009
236,f Cen,CON Bororo 009
237,del UMa,CON Bororo 010
238,alf UMa,CON Bororo 010
239,bet UMa,CON Bororo 010
240,gam UMa,CON Bororo 010
241,eps Sgr,CON Bororo 011
242,eta Sgr,CON Bororo 011
243,gam02 Sgr,CON Bororo 011
244,del Sgr,CON Bororo 011
245,phi Sgr,CON Bororo 012
246,sig Sgr,CON Bororo 012
247,tau Sgr,CON Bororo 012
248,zet Sgr,CON Bororo 012
249,eps Del,CON Bororo 013
250,bet Del,CON Bororo 013
251,alf Del,CON Bororo 013
252,gam02 Del,CON Bororo 013
253,HD 200044,CON Bororo 013
254,kap Del,CON Bororo 013
255,alf Eri,CON Bororo 014
256,bet Cet,CON Bororo 014
257,gam Peg,CON Bororo 014
258,alf And,CON Bororo 014
259,tet CrB,CON Bororo 015
260,bet CrB,CON Bororo 015
261,alf CrB,CON Bororo 015
262,gam CrB A,CON Bororo 015
263,del CrB,CON Bororo 015
264,eps CrB,CON Bororo 015
265,iot CrB,CON Bororo 015
266,kap02 CrA,CON Bororo 016
267,lam CrA,CON Bororo 016
268,eps CrA,CON Bororo 016
269,gam CrA,CON Bororo 016
270,alf CrA,CON Bororo 016
271,bet CrA,CON Bororo 016
272,del CrA,CON Bororo 016
273,zet CrA,CON Bororo 016
274,eta02 CrA,CON Bororo 016
275,tet CrA,CON Bororo 016
276,alf01 Cru,CON Bugis 001
277,bet Cru,CON Bugis 001
278,gam Cru,CON Bugis 001
279,del Cru,CON Bugis 001
280,mu.01 Cru,CON Bugis 001
281,G Sco,CON Bugis 002
282,lam Sco,CON Bugis 002
283,ups Sco,CON Bugis 002
284,kap Sco,CON Bugis 002
285,tet Sco,CON Bugis 002
286,alf Ara,CON Bugis 002
287,bet01 Sco,CON Bugis 003
288,del Sco,CON Bugis 003
289,pi. Sco,CON Bugis 003
